Title,Year,Release Date,Imbibed,Completed,Favorite
Nick of Time,1995,11/22/1995 00:00,,,
Night at the Museum,2006,12/20/2006 00:00,TRUE,,
Night at the Museum: Battle of the Smithsonian,2009,05/20/2009 00:00,,,
Night at the Museum: Secret of the Tomb,2014,12/17/2014 00:00,,,
Night of the Comet,1984,11/16/1984 00:00,,,
Night of the Creeps,1986,08/21/1986 00:00,,,
Night of the Demons,1988,10/14/1988 00:00,,,
Night of the Living Dead,1990,10/19/1990 00:00,,,
Night of the Living Dead,1968,10/04/1968 00:00,,,
Night of the Running Man,1995,01/19/1995 00:00,,,
Night on Earth,1991,12/12/1991 00:00,,,
Night Owl,1993,06/30/1993 00:00,,,
Nightcrawler,2014,10/23/2014 00:00,TRUE,,
Nightfall,1956,11/09/1956 00:00,,,
Nightmare Cinema,2018,06/21/2018 00:00,,,
Ninja Cheerleaders,2008,05/10/2008 00:00,,,
Ninja Gaiden,1991,11/22/1991 00:00,,,
NiNoKuni,2019,08/23/2019 00:00,,,
No Country for Old Men,2007,06/13/2007 00:00,TRUE,,
No Regrets for Our Youth,1946,10/29/1946 00:00,,,
No Safe Spaces,2019,10/25/2019 00:00,,,
No Time to Die,2021,09/29/2021 00:00,TRUE,,
No Way Out,1973,08/23/1973 00:00,,,
Noah,2014,03/07/2014 00:00,TRUE,,
Nobody,2021,03/18/2021 00:00,,,
"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017,05/09/2017 00:00,,,
Norm Macdonald: Me Doing Standup,2011,03/01/2011 00:00,,,
Norm Macdonald: Nothing Special,2022,05/30/2022 00:00,,,
North by Northwest,1959,08/06/1959 00:00,TRUE,,
Nosferatu,1922,02/16/1922 00:00,,,
Nosferatu the Vampyre,1979,01/17/1979 00:00,,,
Nothing but Trouble,1991,02/15/1991 00:00,,,
Nothing to Lose,1997,07/18/1997 00:00,,,
Notorious,1946,08/21/1946 00:00,,,
Notting Hill,1999,05/21/1999 00:00,TRUE,,
Now You See Me,2013,05/29/2013 00:00,TRUE,,
Now You See Me 2,2016,06/02/2016 00:00,TRUE,,
"O Brother, Where Art Thou",2000,05/13/2000 00:00,TRUE,,
"Objective, Burma!",1945,02/17/1945 00:00,,,
Oblivion,2013,04/10/2013 00:00,TRUE,,
Ocean Waves,1993,10/09/1993 00:00,,,
Ocean's Eleven,1960,08/10/1960 00:00,,,
Ocean's Eleven,2001,12/07/2001 00:00,TRUE,,
Ocean's Thirteen,2007,06/05/2007 00:00,TRUE,,
Ocean's Twelve,2004,12/09/2004 00:00,TRUE,,
October Sky,1999,02/19/1999 00:00,,,
Octopussy,1983,06/05/1983 00:00,TRUE,,
Oculus,2013,01/18/2013 00:00,,,
Oeconomia,2020,02/21/2020 00:00,,,
Of Mice and Men,1992,09/16/1992 00:00,,,
Office Space,1999,02/19/1999 00:00,TRUE,,
Okko's Inn,2018,09/12/2018 00:00,,,
Old Henry,2021,10/01/2021 00:00,,,
Old Yeller,1957,12/25/1957 00:00,,,
Oldboy,2003,11/21/2003 00:00,,,
Oldboy,2013,11/14/2013 00:00,,,
Oliver & Company,1988,11/18/1988 00:00,,,
Oliver Twist,2005,09/23/2005 00:00,,,
Olympia: Part One – Festival of the Nations,1938,04/21/1938 00:00,,,
Olympia: Part Two – Festival of Beauty,1938,06/02/1938 00:00,,,
Omega Doom,1996,10/21/1996 00:00,TRUE,,
On Golden Pond,1981,12/04/1981 00:00,,,
On Her Majesty's Secret Service,1969,12/18/1969 00:00,,,
On the Line,2022,10/31/2022 00:00,,,
On the Road,2012,05/22/2012 00:00,,,
On the Waterfront,1954,06/22/1954 00:00,,,
Once Bitten,1985,11/15/1985 00:00,,,
Once Upon a Time in America,1984,05/23/1984 00:00,,,
Once Upon a Time in China,1991,08/15/1991 00:00,,,
Once Upon a Time in China and America,1997,02/01/1997 00:00,,,
Once Upon a Time in China II,1992,08/15/1992 00:00,,,
Once Upon a Time in China III,1993,01/14/1993 00:00,,,
Once Upon a Time in China IV,1993,06/10/1993 00:00,,,
Once Upon a Time in Mexico,2003,09/11/2003 00:00,,,
Once Upon a Time in the West,1968,12/21/1968 00:00,,,
Once Upon a Time... in Hollywood,2019,07/24/2019 00:00,TRUE,,
One Flew Over the Cuckoo's Nest,1975,11/19/1975 00:00,TRUE,,
One Hour Photo,2002,08/21/2002 00:00,,,
One Hundred and One Dalmatians,1961,01/25/1961 00:00,TRUE,,
One Wonderful Sunday,1947,06/25/1947 00:00,,,
Onibaba,1964,11/21/1964 00:00,,,
Only Lovers Left Alive,2013,12/12/2013 00:00,TRUE,,
Only the Brave,2017,09/22/2017 00:00,TRUE,,
Only Yesterday,1991,07/20/1991 00:00,TRUE,,
Onward,2020,02/29/2020 00:00,TRUE,,
Operation Condor,1991,02/07/1991 00:00,,,
Operation Dumbo Drop,1995,07/28/1995 00:00,,,
Operation Mincemeat,2022,04/01/2022 00:00,,,
Operation Red Sea,2018,02/16/2018 00:00,TRUE,,
Oppenheimer,2023,07/19/2023 00:00,TRUE,,
Orange County,2002,01/11/2002 00:00,,,
Origin: Spirits of the Past,2006,01/07/2006 00:00,,,
Orlando,1992,12/11/1992 00:00,,,
Osmosis Jones,2001,08/10/2001 00:00,,,
Out for Justice,1991,04/12/1991 00:00,,,
Out of Africa,1985,12/20/1985 00:00,,,
Out of the Blue,2022,08/26/2022 00:00,,,
Out of the Past,1947,11/25/1947 00:00,,,
Outbreak,1995,03/10/1995 00:00,,,
Outlander,2008,04/24/2008 00:00,,,
Outlaw King,2018,09/06/2018 00:00,TRUE,,
Over the Top,1987,02/13/1987 00:00,TRUE,,
Overboard,1987,12/16/1987 00:00,,,
Overlord,1975,07/01/1975 00:00,,,
Overlord,2018,11/01/2018 00:00,,,
Oz the Great and Powerful,2013,03/07/2013 00:00,TRUE,,
P.S. I Love You,2007,11/15/2007 00:00,,,
Pacific Rim,2013,07/11/2013 00:00,TRUE,,
Pacific Rim: Uprising,2018,03/21/2018 00:00,TRUE,,
Pale Flower,1964,03/01/1964 00:00,,,
Pale Rider,1985,06/28/1985 00:00,TRUE,,
Pan's Labyrinth,2006,10/11/2006 00:00,,,
Pandemic,2016,02/26/2016 00:00,,,
Pandorum,2009,09/08/2009 00:00,,,
Panzer Dragoon,1996,10/26/1996 00:00,,,
Paparazzi,2004,09/03/2004 00:00,TRUE,,
Paper Moon,1973,05/09/1973 00:00,,,
Papillon,1973,12/16/1973 00:00,,,
Paprika,2006,10/01/2006 00:00,TRUE,,
Paradogma,2018,09/19/2018 00:00,,,
Paranoia,2013,08/14/2013 00:00,,,
Paranormal Activity,2007,09/14/2007 00:00,,,
ParaNorman,2012,08/03/2012 00:00,,,
Parasite,2019,05/30/2019 00:00,,,
Parasite Eve,1997,02/01/1997 00:00,,,
Parenthood,1989,07/31/1989 00:00,,,
"Paris, Texas",1984,07/16/1984 00:00,,,
Pass Thru,2016,04/19/2016 00:00,TRUE,,
Passengers,2016,12/21/2016 00:00,TRUE,,
Past Lives,2023,06/02/2023 00:00,,,
Pat Garrett & Billy the Kid,1973,05/23/1973 00:00,,,
Patch Adams,1998,12/25/1998 00:00,TRUE,,
Paths of Glory,1957,10/25/1957 00:00,,,
Patriot Games,1992,06/04/1992 00:00,TRUE,,
Patton,1970,01/25/1970 00:00,TRUE,,
"Paul, Apostle of Christ",2018,03/23/2018 00:00,,,
Paulie,1998,04/17/1998 00:00,TRUE,,
Payback,1999,02/05/1999 00:00,,,
PCU,1994,04/29/1994 00:00,,,
Peace on Earth,1939,12/09/1939 00:00,,,
Pearl Harbor,2001,05/21/2001 00:00,TRUE,,
Pee-wee's Big Adventure,1985,07/26/1985 00:00,TRUE,,
Penguin Highway,2018,08/17/2018 00:00,,,
Penguins of Madagascar,2014,11/22/2014 00:00,,,
Penn & Teller Get Killed,1989,09/22/1989 00:00,,,
Percy Jackson & the Olympians: The Lightning Thief,2010,02/01/2010 00:00,TRUE,,
Percy Jackson: Sea of Monsters,2013,08/07/2013 00:00,TRUE,,
Perfect Blue,1998,02/28/1998 00:00,TRUE,,
PERSONA3 THE MOVIE #1 Spring of Birth,2013,11/23/2013 00:00,,,
PERSONA3 THE MOVIE #2 Midsummer Knight's Dream,2014,06/07/2014 00:00,,,
PERSONA3 THE MOVIE #3 Falling Down,2015,04/04/2015 00:00,,,
PERSONA3 THE MOVIE #4 Winter of Rebirth,2016,01/23/2016 00:00,,,
Pet Sematary,1989,04/21/1989 00:00,,,
Pete's Dragon,1977,11/03/1977 00:00,,,
Peter Pan,1953,02/05/1953 00:00,TRUE,,
Peter Pan,2003,12/18/2003 00:00,,,
Peter's Friends,1992,09/18/1992 00:00,,,
PG: Psycho Goreman,2020,10/29/2020 00:00,,,
Phantasm,1979,03/28/1979 00:00,,,
Phantasm II,1988,07/08/1988 00:00,,,
Phantasm III: Lord of the Dead,1994,05/06/1994 00:00,,,
Phantasm IV: Oblivion,1998,07/31/1998 00:00,,,
Phenomenon,1996,07/05/1996 00:00,,,
Philadelphia,1993,12/22/1993 00:00,,,
Phone Booth,2003,04/04/2003 00:00,TRUE,,
Pi,1998,07/10/1998 00:00,,,
Piglet's Big Movie,2003,03/16/2003 00:00,,,
Pineapple Express,2008,08/06/2008 00:00,,,
Pink Flamingos,1972,03/17/1972 00:00,,,
Pink Floyd - A Momentary Lapse of Reason (Remixed & Updated),2019,12/13/2019 00:00,,,
Pink Floyd: Delicate Sound of Thunder,1989,07/21/1989 00:00,,,
Pink Floyd: The Story of Wish You Were Here,2012,06/26/2012 00:00,,,
Pink Floyd: The Wall,1982,07/14/1982 00:00,,,
Pinocchio,1940,02/23/1940 00:00,TRUE,,
Piranha 3D,2010,08/20/2010 00:00,TRUE,,
Piranha 3DD,2012,05/11/2012 00:00,,,
Pirates of Silicon Valley,1999,05/10/1999 00:00,,,
Pirates of the Caribbean: At World's End,2007,05/19/2007 00:00,TRUE,,
Pirates of the Caribbean: Dead Man's Chest,2006,07/06/2006 00:00,TRUE,,
Pirates of the Caribbean: Dead Men Tell No Tales,2017,05/23/2017 00:00,TRUE,,
Pirates of the Caribbean: On Stranger Tides,2011,05/15/2011 00:00,TRUE,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,07/09/2003 00:00,TRUE,,
Pitch Black,2000,02/18/2000 00:00,TRUE,,
Pitch Perfect,2012,09/28/2012 00:00,,,
Pitch Perfect 2,2015,05/15/2015 00:00,,,
Pitch Perfect 3,2017,12/20/2017 00:00,,,
Pixels,2015,07/16/2015 00:00,,,
Plan 9 from Outer Space,1959,07/22/1959 00:00,,,
Plane Crazy,1929,03/17/1929 00:00,,,
Planes,2013,08/09/2013 00:00,TRUE,,
"Planes, Trains and Automobiles",1987,11/26/1987 00:00,TRUE,,
Planes: Fire & Rescue,2014,07/17/2014 00:00,,,
Planet Hulk,2010,02/02/2010 00:00,,,
Planet of the Apes,1968,02/07/1968 00:00,,,
Planet of the Apes,2001,07/25/2001 00:00,TRUE,,
Planet Terror,2007,04/06/2007 00:00,,,
Platoon,1986,12/19/1986 00:00,TRUE,,
Playmobil: The Movie,2019,06/10/2019 00:00,,,
PlayTime,1967,12/13/1967 00:00,,,
Pocahontas,1995,10/16/1995 00:00,TRUE,,
Pocahontas II: Journey to a New World,1998,08/04/1998 00:00,,,
Point Break,1991,07/12/1991 00:00,TRUE,,
Police Academy,1984,03/22/1984 00:00,,,
Police Academy 2: Their First Assignment,1985,03/28/1985 00:00,,,
Police Academy 3: Back in Training,1986,03/20/1986 00:00,,,
Police Story,1985,12/14/1985 00:00,TRUE,,
Police Story 2,1988,08/13/1988 00:00,,,
Police Story 3: Super Cop,1992,07/04/1992 00:00,,,
Poltergeist,1982,06/04/1982 00:00,,,
Pom Poko,1994,07/16/1994 00:00,TRUE,,
Pontypool,2009,03/06/2009 00:00,,,
Ponyo,2008,07/19/2008 00:00,TRUE,,
Pooh's Grand Adventure: The Search for Christopher Robin,1997,08/05/1997 00:00,,,
Pooh's Heffalump Movie,2005,02/11/2005 00:00,,,
Poolhall Junkies,2002,06/30/2002 00:00,,,
Popeye,1980,12/12/1980 00:00,,,
Porco Rosso,1992,07/18/1992 00:00,TRUE,,
Port of Shadows,1938,05/17/1938 00:00,,,
Possession,1981,05/27/1981 00:00,,,
Postal,2007,10/18/2007 00:00,TRUE,,
Powder,1995,10/27/1995 00:00,,,
Practical Magic,1998,10/16/1998 00:00,,,
Predator,1987,06/12/1987 00:00,TRUE,,
Predator 2,1990,11/21/1990 00:00,TRUE,,
Predators,2010,07/07/2010 00:00,TRUE,,
Predestination,2015,01/09/2015 00:00,,,
Prefontaine,1997,01/24/1997 00:00,TRUE,,
Premium Rush,2012,08/24/2012 00:00,TRUE,,
Pretty in Pink,1986,02/28/1986 00:00,,,
Pretty Woman,1990,03/23/1990 00:00,TRUE,,
Priest,2011,05/05/2011 00:00,,,
Primal Fear,1996,03/06/1996 00:00,,,
Primary Colors,1998,03/20/1998 00:00,,,
Primer,2005,06/02/2005 00:00,,,
Prince of Darkness,1987,10/23/1987 00:00,,,
Prince of Persia: The Sands of Time,2010,05/19/2010 00:00,TRUE,,
Prince of the City,1981,08/19/1981 00:00,,,
Prince Valiant,1954,04/05/1954 00:00,,,
Prince Valiant,1997,07/24/1997 00:00,,,
Princess Mononoke,1997,07/12/1997 00:00,TRUE,,
Princess Sakura,2013,06/29/2013 00:00,,,
Prisoners,2013,09/19/2013 00:00,,,
Private House of the SS,1977,01/20/1977 00:00,,,
Private Parts,1997,03/07/1997 00:00,,,
Project A,1983,12/22/1983 00:00,,,
Project A Part II,1987,07/25/1987 00:00,,,
Promare,2019,05/24/2019 00:00,TRUE,,
Promare / Side: Galo,2019,05/24/2019 00:00,TRUE,,
Promare / Side: Lio,2019,05/24/2019 00:00,TRUE,,
Prometheus,2012,05/30/2012 00:00,TRUE,,
Proof of Life,2000,12/08/2000 00:00,,,
Psycho,1960,06/22/1960 00:00,TRUE,,
Public Enemies,2009,07/01/2009 00:00,TRUE,,
Pulgasari,1985,12/01/1985 00:00,,,
Pulp Fiction,1994,09/10/1994 00:00,TRUE,,
Pumping Iron,1977,01/18/1977 00:00,,,
Punch-Drunk Love,2002,10/11/2002 00:00,,,
Puppet Master,1989,10/12/1989 00:00,,,
Purple Rain,1984,07/27/1984 00:00,TRUE,,
Push,2009,02/04/2009 00:00,TRUE,,
Pushing Hands,1991,12/07/1991 00:00,,,
Pushing Tin,1999,04/23/1999 00:00,,,
Puss in Boots,2011,10/27/2011 00:00,,,
Puss in Boots: The Last Wish,2022,12/07/2022 00:00,TRUE,,
Quantum of Solace,2008,10/29/2008 00:00,TRUE,,
Quarantine,2008,10/10/2008 00:00,,,
Quarantine 2: Terminal,2011,06/16/2011 00:00,,,
Queen of Earth,2015,02/07/2015 00:00,,,
Queen of the Damned,2002,02/10/2002 00:00,TRUE,,
Queen of the Desert,2015,09/03/2015 00:00,,,
Quest for Camelot,1998,05/15/1998 00:00,,,
Quiz Show,1994,08/25/1994 00:00,,,
R.I.P.D.,2013,07/18/2013 00:00,TRUE,,
Radioactive,2020,03/11/2020 00:00,,,
Raging Bull,1980,11/14/1980 00:00,,,
Raiders of the Lost Ark,1981,06/12/1981 00:00,TRUE,,
Rain Man,1988,12/12/1988 00:00,TRUE,,
Raining in the Mountain,1979,07/11/1979 00:00,,,
Raise the Red Lantern,1991,12/18/1991 00:00,,,
Raising Arizona,1987,03/13/1987 00:00,,,
Rambo,2008,01/24/2008 00:00,,,
Rambo III,1988,05/24/1988 00:00,,,
Rambo: First Blood Part II,1985,05/21/1985 00:00,,,
Rambo: Last Blood,2019,09/18/2019 00:00,,,
Ran,1985,06/01/1985 00:00,TRUE,,
Rango,2011,03/02/2011 00:00,TRUE,,
Ransom,1996,11/08/1996 00:00,TRUE,,
Rashomon,1950,08/26/1950 00:00,TRUE,,
Rat Race,2001,08/17/2001 00:00,,,
Ratatouille,2007,06/28/2007 00:00,TRUE,,
Ratchet & Clank,2016,04/13/2016 00:00,,,
Ravenous,1999,03/16/1999 00:00,,,
Raw Deal,1986,06/06/1986 00:00,,,
Raya and the Last Dragon,2021,03/03/2021 00:00,TRUE,,
Re-Animator,1985,10/18/1985 00:00,,,
Ready Player One,2018,03/28/2018 00:00,TRUE,,
Real Genius,1985,08/07/1985 00:00,,,
Real Steel,2011,09/28/2011 00:00,,,
Rear Window,1954,08/01/1954 00:00,TRUE,,
Rebecca,1940,04/12/1940 00:00,,,
Rebel Moon - Part One: A Child of Fire,2023,12/15/2023 00:00,,,
Rebel Moon - Part Two: The Scargiver,2024,04/19/2024 00:00,,,
Rebel Without a Cause,1955,10/27/1955 00:00,,,
Rebirth of Mothra,1996,12/14/1996 00:00,,,
Reconnect: The Movie,2019,12/06/2019 00:00,,,
RED,2010,10/13/2010 00:00,TRUE,,
RED 2,2013,07/18/2013 00:00,TRUE,,
Red Beard,1965,04/03/1965 00:00,,,
Red Cliff,2008,07/10/2008 00:00,TRUE,,
Red Cliff II,2009,01/07/2009 00:00,TRUE,,
Red Dawn,1984,08/10/1984 00:00,,,
Red Dawn,2012,11/21/2012 00:00,,,
Red Dragon,2002,10/02/2002 00:00,,,
Red Heat,1988,06/17/1988 00:00,,,
Red Joan,2018,09/13/2018 00:00,,,
Red Planet,2000,11/10/2000 00:00,,,
Red River,1948,09/17/1948 00:00,,,
Red Sonja,1985,04/09/1985 00:00,TRUE,,
Redline,2007,04/13/2007 00:00,,,
Reds,1981,12/25/1981 00:00,,,
Reign of Fire,2002,07/09/2002 00:00,TRUE,,
Reign of the Supermen,2019,01/13/2019 00:00,,,
Reign Over Me,2007,03/22/2007 00:00,,,
Reindeer Games,2000,02/25/2000 00:00,,,
Remember the Titans,2000,09/29/2000 00:00,,,
Renaissance Man,1994,06/03/1994 00:00,,,
Renfield,2023,04/07/2023 00:00,,,
Replicas,2018,10/25/2018 00:00,,,
Repo Men,2010,03/18/2010 00:00,,,
Requiem for a Dream,2000,10/06/2000 00:00,,,
Reservoir Dogs,1992,09/02/1992 00:00,TRUE,,
Resident Evil,2002,03/15/2002 00:00,TRUE,,
Resident Evil: Afterlife,2010,09/09/2010 00:00,TRUE,,
Resident Evil: Apocalypse,2004,09/10/2004 00:00,TRUE,,
Resident Evil: Damnation,2012,09/25/2012 00:00,TRUE,,
Resident Evil: Extinction,2007,09/20/2007 00:00,TRUE,,
Resident Evil: Retribution,2012,09/12/2012 00:00,TRUE,,
Resident Evil: The Final Chapter,2016,12/23/2016 00:00,,,
Resident Evil: Vendetta,2017,05/27/2017 00:00,,,
Resident Evil: Welcome to Raccoon City,2021,11/24/2021 00:00,,,
Restoration,1995,12/29/1995 00:00,TRUE,,
Restrepo,2010,06/25/2010 00:00,,,
Return of the Jedi,1983,05/25/1983 00:00,TRUE,,
Return of the Killer Tomatoes!,1988,04/22/1988 00:00,,,
Return of the Living Dead III,1993,10/01/1993 00:00,,,
Return of the Living Dead Part II,1988,01/15/1988 00:00,,,
Return of the Living Dead: Necropolis,2005,10/15/2005 00:00,,,
Return of the Living Dead: Rave to the Grave,2005,10/15/2005 00:00,,,
Return to Never Land,2002,02/14/2002 00:00,,,
Return to Oz,1985,06/21/1985 00:00,,,
Revenge of the Nerds,1984,07/20/1984 00:00,,,
Revenge of the Nerds II: Nerds in Paradise,1987,07/10/1987 00:00,,,
Revenge of the Pink Panther,1978,01/08/1978 00:00,,,
Revolver,1973,09/27/1973 00:00,,,
Richard Jewell,2019,12/13/2019 00:00,,,
Richard Pryor: Here and Now,1983,10/28/1983 00:00,,,
Richard Pryor: Live in Concert,1979,01/26/1979 00:00,,,
Richard Pryor: Live on the Sunset Strip,1982,03/12/1982 00:00,,,
Riddick,2013,09/02/2013 00:00,TRUE,,
Ride with the Devil,1999,04/16/2010 08:38,,,
Riding Bean,1989,02/22/1989 00:00,,,
Righteous Kill,2008,09/11/2008 00:00,,,
Riki-Oh: The Story of Ricky,1991,10/05/1991 00:00,TRUE,,
Ring,1998,01/31/1998 00:00,,,
Rio,2011,04/03/2011 00:00,,,
Rio 2,2014,03/19/2014 00:00,,,
Rio Bravo,1959,03/18/1959 00:00,,,
Ripley Under Ground,2005,11/06/2005 00:00,,,
Ripley's Game,2002,09/02/2002 00:00,,,
Rise of the Guardians,2012,11/21/2012 00:00,TRUE,,
Rise of the Planet of the Apes,2011,08/03/2011 00:00,,,
Rising Sun,1993,07/30/1993 00:00,,,
Risky Business,1983,08/05/1983 00:00,,,
Road House,1989,05/19/1989 00:00,,,
Road House,2024,03/08/2024 00:00,TRUE,,
Road to Perdition,2002,07/12/2002 00:00,TRUE,,
Rob Roy,1995,04/13/1995 00:00,,,
Robin Hood,2010,05/12/2010 00:00,TRUE,,
Robin Hood,1973,11/08/1973 00:00,TRUE,,
Robin Hood: Men in Tights,1993,07/28/1993 00:00,,,
Robin Hood: Prince of Thieves,1991,06/14/1991 00:00,TRUE,,
RoboCop,1987,07/17/1987 00:00,TRUE,,
RoboCop 2,1990,06/22/1990 00:00,TRUE,,
RoboCop 3,1993,01/21/1993 00:00,TRUE,,
Robot Carnival,1987,07/21/1987 00:00,,,
Robot Jox,1989,10/01/1989 00:00,TRUE,,
Robots,2005,03/10/2005 00:00,,,
Rock of Ages,2012,06/13/2012 00:00,,,
Rock-A-Doodle,1991,08/02/1991 00:00,,,
RocknRolla,2008,09/04/2008 00:00,,,
Rocky,1976,11/20/1976 00:00,,,
Rocky Balboa,2006,12/20/2006 00:00,,,
Rocky II,1979,06/15/1979 00:00,,,
Rocky III,1982,05/28/1982 00:00,,,
Rocky IV,1985,11/21/1985 00:00,,,
Rocky V,1990,11/16/1990 00:00,,,
Roger & Me,1989,09/01/1989 00:00,,,
Rogue One: A Star Wars Story,2016,12/14/2016 00:00,TRUE,,
Role Models,2008,11/07/2008 00:00,,,
Romancing the Stone,1984,03/30/1984 00:00,,,
Romeo & Juliette,2013,08/23/2013 00:00,,,
Romeo + Juliet,1996,11/01/1996 00:00,TRUE,,
Romeo and Juliet,1968,04/02/1968 00:00,,,
Romeo and Juliet,1954,09/01/1954 00:00,,,
Romeo Must Die,2000,03/22/2000 00:00,TRUE,,
Ronin,1998,09/25/1998 00:00,,,
Rosemary's Baby,1968,06/12/1968 00:00,,,
Rosencrantz & Guildenstern Are Dead,1991,02/08/1991 00:00,,,
Rosencrantz and Guildenstern Are Undead,2009,01/19/2009 00:00,,,
Roujin Z,1991,09/14/1991 00:00,,,
Rounders,1998,09/11/1998 00:00,,,
Roxanne,1987,06/19/1987 00:00,,,
Royal Space Force - The Wings of Honneamise,1987,03/14/1987 00:00,,,
Rudolph and Frosty's Christmas in July,1979,07/01/1979 00:00,TRUE,,
Rudolph the Red-Nosed Reindeer,1964,12/06/1964 00:00,TRUE,,
Rudolph's Shiny New Year,1976,12/10/1976 00:00,TRUE,,
Rudy,1993,09/17/1993 00:00,,,
Rules of Engagement,2000,04/07/2000 00:00,,,
Rumble in the Bronx,1995,01/21/1995 00:00,,,
Run Hide Fight,2021,06/17/2021 00:00,,,
Run Lola Run,1998,08/20/1998 00:00,TRUE,,
Runaway Bride,1999,07/30/1999 00:00,,,
Runaway Jury,2003,10/17/2003 00:00,TRUE,,
Running Out of Time,1999,09/23/1999 00:00,,,
Rush Hour,1998,09/18/1998 00:00,TRUE,,
Rush Hour 2,2001,08/03/2001 00:00,TRUE,,
Rush Hour 3,2007,08/08/2007 00:00,TRUE,,
Rushmore,1998,12/11/1998 00:00,,,
Russian Ark,2002,05/22/2002 00:00,,,
S.W.A.T.,2003,08/08/2003 00:00,TRUE,,
S1m0ne,2002,08/23/2002 00:00,,,
Safety Not Guaranteed,2012,06/08/2012 00:00,,,
Sahara,2005,04/06/2005 00:00,TRUE,,
Sahara,1983,12/01/1983 00:00,,,
Sahara,1943,09/22/1943 00:00,,,
Sahara,1995,04/25/1995 00:00,,,
Saludos Amigos,1942,08/24/1942 00:00,,,
Salvador,1986,04/23/1986 00:00,,,
Sam Kinison: Why Did We Laugh?,1999,04/01/1999 00:00,TRUE,,
Samaritan,2022,08/25/2022 00:00,TRUE,,
Samson and Delilah,1949,12/21/1949 00:00,,,
Samurai Cop,1991,11/30/1991 00:00,TRUE,,
Samurai Rebellion,1967,05/27/1967 00:00,,,
San Andreas,2015,05/27/2015 00:00,TRUE,,
Sands of Iwo Jima,1950,02/14/2021 16:43,,,
Sanjuro,1962,08/29/2019 17:26,,,
Sanshiro Sugata,1943,03/25/1943 00:00,,,
Sanshiro Sugata Part Two,1945,05/03/1945 00:00,,,
Sansho the Bailiff,1954,03/31/1954 00:00,,,
Santa Claus Is Comin' to Town,1970,12/14/1970 00:00,TRUE,,
Sasquatch Sunset,2024,04/12/2024 00:00,,,
Saving Mr. Banks,2013,11/29/2013 00:00,TRUE,,
Saving Private Ryan,1998,07/24/1998 00:00,TRUE,,
Saw,2004,10/01/2004 00:00,,,
Scandal,1950,04/26/1950 00:00,,,
Scanners,1981,01/14/1981 00:00,,,
Scarface,1983,12/09/1983 00:00,TRUE,,
Scars of Dracula,1970,11/08/1970 00:00,,,
Scary Movie,2000,07/07/2000 00:00,,,
Scent of a Woman,1992,12/23/1992 00:00,TRUE,,
Schindler's List,1993,12/15/1993 00:00,TRUE,,
School of Rock,2003,10/03/2003 00:00,TRUE,,
School Ties,1992,09/18/1992 00:00,,,
Scooby-Doo,2002,06/14/2002 00:00,TRUE,,
Scooby-Doo 2: Monsters Unleashed,2004,03/24/2004 00:00,,,
Scott Pilgrim vs. the World,2010,08/12/2010 00:00,TRUE,,
Scream,1996,12/20/1996 00:00,,,
Scream 2,1997,12/12/1997 00:00,,,
Screamers,1995,09/08/1995 00:00,TRUE,,
Screwed,2000,05/12/2000 00:00,,,
Scrooge,1951,11/30/1951 00:00,,,
Scrooged,1988,11/22/1988 00:00,,,
Se7en,1995,09/22/1995 00:00,TRUE,,
Seabiscuit,2003,07/22/2003 00:00,,,
Secondhand Lions,2003,09/19/2003 00:00,TRUE,,
Secret of the Wings,2012,08/17/2012 00:00,,,
Secretariat,2010,08/20/2010 00:00,,,
"See No Evil, Hear No Evil",1989,05/12/1989 00:00,,,
Semi-Pro,2008,02/28/2008 00:00,,,
Senna,2010,10/07/2010 00:00,,,
Sense and Sensibility,1995,12/13/1995 00:00,,,
Senseless,1998,02/20/1998 00:00,,,
Serenity,2019,01/24/2019 00:00,,,
Sergeant York,1941,09/27/1941 00:00,,,
Serpico,1973,12/18/1973 00:00,TRUE,,
Seven Brides for Seven Brothers,1954,07/22/1954 00:00,,,
Seven Pounds,2008,12/18/2008 00:00,,,
Seven Samurai,1954,04/26/1954 00:00,TRUE,,
Seven Years in Tibet,1997,09/12/1997 00:00,,,
Seventh Son,2014,12/12/2014 00:00,,,
Sex and Lucía,2001,08/24/2001 00:00,,,
Sexy Beast,2000,09/13/2000 00:00,,,
Sgt. Bilko,1996,03/29/1996 00:00,TRUE,,
Sgt. Stubby: An American Hero,2018,04/13/2018 00:00,TRUE,,
Shadowlands,1993,12/25/1993 00:00,,,
Shaft,2000,06/15/2000 00:00,,,
Shaft,2019,06/14/2019 00:00,TRUE,,
Shaft,1971,06/25/1971 00:00,,,
Shakespeare in Love,1998,12/11/1998 00:00,,,
Shane,1953,04/23/1953 00:00,,,
Shane Gillis: Beautiful Dogs,2023,09/05/2023 00:00,,,
Shanghai Knights,2003,02/06/2003 00:00,TRUE,,
Shanghai Noon,2000,05/26/2000 00:00,TRUE,,
Shaolin & Wu Tang,1983,07/07/1983 00:00,,,
Shaolin Soccer,2001,07/05/2001 00:00,TRUE,,
Shark Tale,2004,09/20/2004 00:00,,,
Sharknado,2013,07/11/2013 00:00,,,
Sharknado 2: The Second One,2014,07/30/2014 00:00,,,
Sharknado 3: Oh Hell No!,2015,07/22/2015 00:00,,,
